"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U1";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM4562";;;
2;"R18,R17";"R_1206_3216Metric";2;"3k";;;
3;"R16,R15";"R_1206_3216Metric";2;"1K3";;;
4;"R14,R13,R12,R11";"R_1206_3216Metric";4;"1K";;;
5;"R10,R9,R8,R7";"R_1206_3216Metric";4;"47K";;;
6;"R6,R5";"R_1206_3216Metric";2;"2M2";;;
7;"R4,R3,R2,R1";"R_1206_3216Metric";4;"100R";;;
8;"J7,J6";"TerminalBlock_ Amphenol_01_03_P3.50mm";2;"CH1_OUT";;;
9;"J5,J4";"PinHeader_1x03_P2.54mm_Vertical";2;"Gain";;;
10;"J2";"Jack_XLR_Neutrik_NC3FAAH2_Horizontal_centered";1;"CH2_XLR";;;
11;"C6,C5,C4,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"1n";;;
12;"J3";"TerminalBlock_ Amphenol_01_02_P3.50mm";1;"POWER";;;
13;"C8,C7,C2,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"100n";;;
14;"H2,H1";"MountingHole_3.5mm_Pad_Via";2;"MountingHole";;;
15;"J1";"Jack_XLR_Neutrik_NC3FAAH2_Horizontal_centered";1;"CH1_XLR";;;
